"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
2.3,191,FALSE,4.5,2.2,"Zambo Anguissa",1.9,"a",8,54,18,229974,2493,160990,9683,0.5,4,"Anguissa",632,0,1,1,12,0,0,0,1,0,0,0,114,143.2,112.3,95,35.2,67,24,58,40,73,39,57,33
2,373,FALSE,4.5,2,"Reed",0.6,"a",8,54,10,47077,516,84658,3178,0.4,2.2,"Reed",305,0,1,0,8,0,0,0,1,0,0,0,64,65.8,60.8,10,13.6,203,79,134,83,278,143,217,101
1,493,FALSE,4.5,1.2,"Lemina",0.4,"d",8,54,5,9435,37,62633,2648,0.2,1.1,"Lemina",152,0,0,0,3,0,0,0,0,0,0,0,23,29.2,17.6,8,5.6,301,126,262,147,297,150,322,146
1.3,557,FALSE,5,3,"Lookman",0.5,"a",8,54,15,51238,2877,19539,5655,0.3,3,"Lookman",382,1,0,1,4,0,0,1,1,0,0,3,48,99.6,115.2,157,37.2,147,54,54,37,41,22,54,31
0,220,FALSE,4.4,0,"Silva",0.3,"u",9,13,0,8419,25,39451,1305,0,0,"Silva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,182,446,183,415,169,468,182
1.3,221,FALSE,5.3,1.2,"Albrighton",0.1,"a",9,13,6,3202,154,11164,428,0.2,1.1,"Albrighton",170,0,0,0,1,0,0,0,0,0,0,0,28,34,50.4,4,8.8,288,121,150,92,330,158,280,129
0,222,FALSE,4.3,0,"James",0.4,"n",9,13,0,26444,5560,41361,3356,0,0,"James",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,180,430,181,398,167,452,180
3,225,FALSE,5.5,4,"Praet",0.4,"a",9,13,28,71853,2304,62864,2093,0.5,5.1,"Praet",491,1,2,3,4,0,0,0,0,0,0,1,92,98.4,80.4,76,25.2,150,55,99,65,99,55,103,55
6.7,228,FALSE,6.4,4.2,"Tielemans",2.3,"a",9,13,34,123358,26084,128619,11056,1,5.3,"Tielemans",720,3,0,3,9,0,0,0,3,0,0,3,153,199.6,89.7,92,38.1,27,10,84,57,79,43,51,28
0,229,FALSE,6.1,2,"Pérez",0.9,"a",9,13,8,26199,569,195939,5424,0,1.3,"Pérez",280,0,0,1,4,0,0,0,1,0,0,0,23,33,36.8,103,17.4,293,123,180,112,66,35,174,84
0,230,FALSE,5.3,0,"Gray",0.1,"a",9,13,0,1756,82,11546,255,0,0,"Gray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,230,576,231,571,228,582,230
3,231,FALSE,7,3.1,"Maddison",2.2,"a",9,13,22,259259,10219,239253,17858,0.4,3.1,"Maddison",268,1,2,2,3,0,0,0,1,0,0,1,64,58.2,93.3,63,21.2,223,89,76,50,126,69,140,71
0,234,FALSE,4.8,1,"Choudhury",0.1,"a",9,13,2,2032,150,4748,309,0,0.4,"Choudhury",13,0,0,0,1,0,0,0,0,0,0,0,8,3.2,1.6,0,0.5,392,173,356,171,527,209,400,175
4,235,FALSE,6.9,4.2,"Barnes",3.9,"a",9,13,34,473904,11364,485697,37040,0.6,4.9,"Barnes",612,2,1,2,9,0,0,0,0,0,0,4,90,134.6,58.5,278,47,75,26,136,85,17,7,34,17
0,236,FALSE,4.8,2.5,"Ndidi",0.6,"i",9,13,5,18042,98,130460,1918,0,1,"Ndidi",180,0,0,1,2,0,0,0,0,0,0,0,29,47.8,1.5,0,4.9,247,101,359,173,529,211,337,157
2.7,518,FALSE,4.5,2.6,"Mendy",3,"a",9,13,21,310702,14170,170204,14547,0.6,4.7,"Mendy",705,0,1,4,8,0,0,0,2,0,0,0,109,93.2,53.5,8,15.4,159,59,142,87,296,149,195,93
2.7,541,FALSE,5.9,3,"Ünder",0.1,"a",9,13,9,11161,1125,6266,1283,0.5,1.5,"Ünder",69,0,2,0,1,0,0,0,0,0,0,0,37,43.8,35.4,10,8.9,254,103,185,116,285,145,276,127
1,193,FALSE,5.7,1.5,"Hernández Domínguez",0.3,"a",10,2,6,16027,445,115197,1630,0.2,1.1,"Hernández",153,0,0,0,5,0,0,0,0,0,0,0,16,12.4,26.6,39,7.9,354,155,214,128,180,96,294,136
3.7,198,FALSE,5.6,4.5,"Klich",6.1,"a",10,2,36,723985,19221,456243,34927,0.7,6.4,"Klich",696,2,3,2,16,0,0,0,3,0,0,2,156,214.2,208.7,102,52.6,23,9,14,11,68,37,24,13
0,199,FALSE,4.8,0,"Forshaw",0,"i",10,2,0,166,28,1634,45,0,0,"Forshaw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,211,530,212,511,203,543,211
